ticker,rs_days,ipo_days_eff,fresh_via,as_of_date
AAAC,,247,ipo,2026-08-15
AAAD,,73,ipo,2026-08-15
AAAP,,53,ipo,2026-08-15
AAC.U,,46,ipo,2026-08-15
AACBU,,78,ipo,2026-08-15
AACI,,141,ipo,2026-08-15
AACIU,,178,ipo,2026-08-15
AACIW,,141,ipo,2026-08-15
AACO,,124,ipo,2026-08-15
AACOU,,177,ipo,2026-08-15
AACOW,,122,ipo,2026-08-15
AACP,7095,79,ipo,2026-08-15
AACPR,,79,ipo,2026-08-15
AACPU,,130,ipo,2026-08-15
AACPW,,79,ipo,2026-08-15
AADX,,73,ipo,2026-08-15
AAEQ,,248,ipo,2026-08-15
AAHYX,250,,rs,2026-08-15
AAM.U,,359,ipo,2026-08-15
AAMCF,264,,rs,2026-08-15
AAOG,,95,ipo,2026-08-15
AAOX,,144,ipo,2026-08-15
AAOZ,,31,ipo,2026-08-15
AAPE,,39,ipo,2026-08-15
AAUA,,149,ipo,2026-08-15
AAUB,,23,ipo,2026-08-15
AAUGF,235,,rs,2026-08-15
AAUM,,318,ipo,2026-08-15
ABCSX,302,,rs,2026-08-15
ABMMF,296,,rs,2026-08-15
ABNG,,271,ipo,2026-08-15
ABNY,256,781,rs,2026-08-15
ABP,285,639,rs,2026-08-15
ABQQ,240,,rs,2026-08-15
ABTC,40,346,both,2026-08-15
ABUF,,136,ipo,2026-08-15
ABX,,228,ipo,2026-08-15
ABXL,,228,ipo,2026-08-15
ACAA,,127,ipo,2026-08-15
ACAAU,,177,ipo,2026-08-15
ACAAW,,123,ipo,2026-08-15
ACAT,291,,rs,2026-08-15
ACCL,,302,ipo,2026-08-15
ACEI,,324,ipo,2026-08-15
ACEP,,267,ipo,2026-08-15
ACET,228,2159,rs,2026-08-15
ACGC,,79,ipo,2026-08-15
ACGCU,,130,ipo,2026-08-15
ACGCW,,79,ipo,2026-08-15
ACGO,,73,ipo,2026-08-15
ACH,,225,ipo,2026-08-15
ACHX,,46,ipo,2026-08-15
ACII,7780,324,ipo,2026-08-15
ACKY,,340,ipo,2026-08-15
ACLZ,,52,ipo,2026-08-15
ACMM,,52,ipo,2026-08-15
ACOM,,59,ipo,2026-08-15
ACSG,,303,ipo,2026-08-15
ACSV,,303,ipo,2026-08-15
ACTS,,149,ipo,2026-08-15
ACVU,,107,ipo,2026-08-15
ACYN,,171,ipo,2026-08-15
ACYQ,,52,ipo,2026-08-15
ACYS,,114,ipo,2026-08-15
ADAC,3557,187,ipo,2026-08-15
ADACU,,240,ipo,2026-08-15
ADACW,,187,ipo,2026-08-15
ADAM,,346,ipo,2026-08-15
ADAMG,,346,ipo,2026-08-15
ADAMH,,346,ipo,2026-08-15
ADAMI,,346,ipo,2026-08-15
ADAML,,346,ipo,2026-08-15
ADAMM,,346,ipo,2026-08-15
ADAMN,,346,ipo,2026-08-15
ADAMO,,213,ipo,2026-08-15
ADAMZ,,346,ipo,2026-08-15
ADBU,,143,ipo,2026-08-15
ADD,358,1383,rs,2026-08-15
ADDS,,79,ipo,2026-08-15
ADGCX,302,,rs,2026-08-15
ADIL,190,2941,rs,2026-08-15
ADIU,,60,ipo,2026-08-15
ADRMF,47,,rs,2026-08-15
ADTX,89,2237,rs,2026-08-15
ADV,141,2116,rs,2026-08-15
ADVB,176,527,rs,2026-08-15
AEAQ,,201,ipo,2026-08-15
AEAQU,,254,ipo,2026-08-15
AEAQW,,201,ipo,2026-08-15
AEC,,331,ipo,2026-08-15
AEHG,,50,ipo,2026-08-15
AEHL,5,2130,rs,2026-08-15
AEMD,11,4051,rs,2026-08-15
AERO,5050,282,ipo,2026-08-15
AERT,64,1011,rs,2026-08-15
AESP,,45,ipo,2026-08-15
AESPR,,45,ipo,2026-08-15
AESPU,,73,ipo,2026-08-15
AESPW,,45,ipo,2026-08-15
AEXA,,323,ipo,2026-08-15
AFDG,75,,rs,2026-08-15
AFFU,121,,rs,2026-08-15
AFGR,,68,ipo,2026-08-15
AFJKU,,292,ipo,2026-08-15
AFRU,,333,ipo,2026-08-15
AGBK,,185,ipo,2026-08-15
AGCC,,297,ipo,2026-08-15
AGGI,71,,rs,2026-08-15
AGIG,,250,ipo,2026-08-15
AGIQ,,346,ipo,2026-08-15
AGL,137,1948,rs,2026-08-15
AGMB,,190,ipo,2026-08-15
AGNCZ,,339,ipo,2026-08-15
AGNPF,116,,rs,2026-08-15
AGNT,,99,ipo,2026-08-15
AGPU,319,246,both,2026-08-15
AGRCX,302,,rs,2026-08-15
AGRZ,,318,ipo,2026-08-15
AHD,,88,ipo,2026-08-15
AHMA,,298,ipo,2026-08-15
AHNRF,135,,rs,2026-08-15
AHRT,,166,ipo,2026-08-15
AIAI,,93,ipo,2026-08-15
AIB,,151,ipo,2026-08-15
AIBD,31,822,rs,2026-08-15
AIBZ,,67,ipo,2026-08-15
AIDX,,177,ipo,2026-08-15
AIFA,64,80,both,2026-08-15
AIFC,,108,ipo,2026-08-15
AIFU,60,451,rs,2026-08-15
AIHY,,25,ipo,2026-08-15
AIIA,,264,ipo,2026-08-15
AIIA.U,,316,ipo,2026-08-15
AIIO,131,354,both,2026-08-15
AIIOW,,354,ipo,2026-08-15
AIIR,,89,ipo,2026-08-15
AIMS,6875,186,ipo,2026-08-15
AINT,,190,ipo,2026-08-15
AIOS,110,184,both,2026-08-15
AIQD,,74,ipo,2026-08-15
AIQU,,74,ipo,2026-08-15
AIRE,107,1027,rs,2026-08-15
AITX,155,,rs,2026-08-15
AIUP,,190,ipo,2026-08-15
AIX,,51,ipo,2026-08-15
AIXC,,269,ipo,2026-08-15
AIXI,96,1255,rs,2026-08-15
AIYY,256,991,rs,2026-08-15
AKAN,124,1614,rs,2026-08-15
AKRE,,292,ipo,2026-08-15
AKTS,,218,ipo,2026-08-15
AKTX,137,3981,rs,2026-08-15
